measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,All causes,Rate,2000,1687.1905359362709,1691.1010163081899,1683.266929013973
Deaths,Russian Federation,Female,All ages,All causes,Rate,2000,1299.8650341587415,1304.1838035436426,1295.8058606009
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2000,156.6482613671983,158.250507407523,154.92133543681155
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2000,34.645558124720985,35.166038437344554,34.09889947427275
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2000,46.89668087506204,47.425770809185906,46.34823938154736
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2000,14.420114264688186,14.59170373896725,14.223945076517227
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2001,154.36419407735133,155.62205964989198,152.69487979007903
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2001,34.57988872559141,34.94461423116186,34.1094911251246
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2001,126.33781397876659,127.56754446133584,125.37524884799643
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2001,31.77596144802252,32.22052256606693,31.202757614736157
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2001,243.984393612523,248.25188018063332,240.5601199673266
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2001,175.02999595132692,177.60655956141426,170.70713590060748
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2002,130.3239322421441,131.65661537725865,129.11092514678464
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2002,33.048339716420585,33.47302422080103,32.43460799372764
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2002,247.44836676838426,251.93801234592547,243.5386632864502
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2002,178.334632323459,181.24192909519445,173.9506522691854
Deaths,Russian Federation,Male,All ages,All causes,Rate,2002,1788.260030783875,1791.896399414203,1784.720686038287
Deaths,Russian Federation,Female,All ages,All causes,Rate,2002,1342.3675364533449,1346.2346731660896,1338.6489742761596
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2002,153.8607014277483,155.25559418442154,151.55837369023763
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2002,33.540832968518004,33.94157530289671,33.04791389756512
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2002,48.81625197951841,49.30144382747508,48.28477682216481
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2002,15.417659992821592,15.615089079983917,15.126639590043764
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2003,132.91421637152627,134.97571314947777,131.48109794375875
