measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,1999,1167.5131648152305,1171.5852613700831,1163.3296922522743
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2003,249.60682178022216,254.3083592798325,245.40905522831696
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2003,181.32871571639367,184.63991066656772,177.00226972564985
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2003,108.61299122527221,110.4912233729929,107.36395415356913
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2003,32.044895547738314,33.03029200735655,31.25860232521573
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2003,333.9913885479714,335.82546749631285,331.3925424163658
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2003,82.63208483300117,83.48806560265379,81.21902201537303
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2004,1364.5839428155557,1368.3232274050783,1361.1748045023153
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2004,1213.6353838343734,1217.3790085692397,1209.5232039098137
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2004,107.14562764027367,108.66630164967548,106.01236962706736
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2004,31.74993691079555,32.61893190103522,31.073792821771576
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2001,328.6169334969495,330.3732923754712,326.6394932823786
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2001,81.30155630720989,82.10245395413975,80.19290078015273
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2006,1328.2603124223704,1331.883393011629,1324.7821396600405
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2006,1183.4166346193615,1187.1058591305748,1179.6963924510976
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2006,102.9991988908223,104.31932593287894,101.96728719722947
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2006,31.66136304358516,32.47880490475602,31.0089162985266
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2001,98.48814952366173,99.95157412992928,97.47454736688007
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2001,29.594035368996362,30.531573923961236,28.948948147117935
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2005,254.36513636813578,260.66075693159183,249.54334968148873
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2005,185.596566546284,189.42978236294815,180.48423423104234
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2004,327.213137305849,329.05427886698226,324.73840565608936
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2004,80.42408582424524,81.26528402582998,78.97047162224966
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2006,295.8946753699439,297.85066890460297,293.55706137012726
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2006,72.78056169685667,73.6069996807972,71.41456160360642
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2006,237.00352650334244,241.13152769970307,233.13544677593467
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2006,177.64824342435782,180.37500064872995,172.40709716196528
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2004,243.06423220167122,247.33871611526084,239.1619837130261
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2004,178.38899388426972,181.1783773779853,173.67173537968173
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2005,1431.3139832217275,1437.0559200398002,1425.2373536907423
